Lookalikes
"C0001, [C0069,0.93, C0026,0.90, C0157,0.86]"
"C0002, [C0178,0.96, C0133,0.95, C0159,0.95]"
"C0003, [C0166,0.83, C0031,0.80, C0195,0.74]"
"C0004, [C0065,0.95, C0075,0.93, C0012,0.92]"
"C0005, [C0007,0.97, C0085,0.97, C0197,0.95]"
"C0006, [C0135,0.84, C0196,0.77, C0185,0.75]"
"C0007, [C0005,0.97, C0085,0.95, C0197,0.93]"
"C0008, [C0093,0.93, C0173,0.86, C0145,0.85]"
"C0009, [C0198,0.99, C0032,0.98, C0033,0.97]"
"C0010, [C0176,0.94, C0056,0.93, C0030,0.91]"
"C0011, [C0016,0.85, C0027,0.85, C0153,0.82]"
"C0012, [C0065,0.96, C0113,0.92, C0004,0.92]"
"C0013, [C0156,0.93, C0099,0.93, C0141,0.88]"
"C0014, [C0060,1.00, C0097,0.99, C0080,0.99]"
"C0015, [C0123,1.00, C0128,0.99, C0080,0.99]"
"C0016, [C0107,0.90, C0011,0.85, C0117,0.84]"
"C0017, [C0075,0.94, C0004,0.90, C0057,0.89]"
"C0018, [C0068,0.91, C0168,0.83, C0087,0.83]"
"C0019, [C0191,0.88, C0174,0.86, C0070,0.84]"
"C0020, [C0130,0.99, C0140,0.98, C0058,0.94]"
